"","id","hand","year","month","day","hour","minute","seconds","blocking","block","trial","iti","rt","response_time","too_soon","too_late","xfix","yfix","xtarget","ytarget"
"104",2,2,2017,11,18,12,52,35.925,1,4,4,1.8739,1.0562,2.1165,0,0,1816,544,661,508
"105",2,2,2017,11,18,12,52,35.925,1,4,5,1.2703,0.6376,1.4739,0,0,1802,543,683,537
"106",2,2,2017,11,18,12,52,35.925,1,4,6,1.2085,1.3309,2.2827,0,0,1802,549,638,485
"107",2,2,2017,11,18,12,52,35.925,1,4,7,1.565,0.72292,1.1592,0,0,1820,534,677,492
"108",2,2,2017,11,18,12,52,35.925,1,4,8,1.6403,1.1719,2.3561,0,0,1820,547,699,531
"109",2,2,2017,11,18,12,52,35.925,1,4,9,1.417,1.0625,1.8048,0,0,1809,552,735,526
"110",2,2,2017,11,18,12,52,35.925,1,4,10,1.206,NA,NA,0,1,1820,537,NA,NA
"111",2,2,2017,11,18,12,52,35.925,1,4,11,1.9479,0.86178,1.6541,0,0,1813,541,636,506
"112",2,2,2017,11,18,12,52,35.925,1,4,12,1.0821,0.48299,1.6956,0,0,1814,541,686,552
"113",2,2,2017,11,18,12,52,35.925,1,4,13,1.1057,1.9518,2.5463,0,0,1807,539,661,548
"114",2,2,2017,11,18,12,52,35.925,1,4,14,1.142,0.88074,1.8305,0,0,1802,545,636,522
"115",2,2,2017,11,18,12,52,35.925,1,4,15,1.1665,1.1606,2.0238,0,0,1817,540,670,507
"116",2,2,2017,11,18,12,52,35.925,1,4,16,1.621,1.1051,1.6063,0,0,1807,547,699,523
"117",2,2,2017,11,18,12,52,35.925,1,4,17,1.5737,0.98134,1.7574,0,0,1798,553,679,520
"118",2,2,2017,11,18,12,52,35.925,1,4,18,1.0521,1.0262,1.7087,0,0,1820,536,670,520
"119",2,2,2017,11,18,12,52,35.925,1,4,19,1.9312,NA,NA,1,0,1803,538,NA,NA
"120",2,2,2017,11,18,12,52,35.925,1,4,20,1.7287,2.1946,2.6806,0,0,1808,546,743,487
"121",3,2,2017,11,20,11,33,54.463,2,1,1,1.8147,NA,NA,1,0,1799,535,NA,NA
"122",3,2,2017,11,20,11,33,54.463,2,1,2,1.9058,0.82236,1.5409,0,0,1805,533,625,538
"123",3,2,2017,11,20,11,33,54.463,2,1,3,1.127,NA,NA,1,0,1806,533,NA,NA
"124",3,2,2017,11,20,11,33,54.463,2,1,4,1.9134,0.4584,0.88766,0,0,1799,531,688,535
"125",3,2,2017,11,20,11,33,54.463,2,1,5,1.6324,0.49032,0.84634,0,0,1794,524,685,542
"126",3,2,2017,11,20,11,33,54.463,2,1,6,1.0975,0.54522,0.83539,0,0,1799,535,713,516
"127",3,2,2017,11,20,11,33,54.463,2,1,7,1.2785,0.43718,0.76438,0,0,1808,531,682,514
"128",3,2,2017,11,20,11,33,54.463,2,1,8,1.5469,0.31934,0.66053,0,0,1806,532,699,506
"129",3,2,2017,11,20,11,33,54.463,2,1,9,1.9575,0.41407,0.73926,0,0,1809,529,676,481
"130",3,2,2017,11,20,11,33,54.463,2,1,10,1.9649,0.34736,0.71123,0,0,1806,528,642,505
"131",3,2,2017,11,20,11,33,54.463,2,2,1,1.7513,0.35862,0.67163,0,0,1808,527,648,507
"132",3,2,2017,11,20,11,33,54.463,2,2,2,1.2551,0.36846,0.7097,0,0,1814,532,679,496
"133",3,2,2017,11,20,11,33,54.463,2,2,3,1.506,0.30915,0.64308,0,0,1814,535,650,487
"134",3,2,2017,11,20,11,33,54.463,2,2,4,1.6991,0.37694,0.66007,0,0,1815,530,719,501
"135",3,2,2017,11,20,11,33,54.463,2,2,5,1.8909,0.38441,0.69772,0,0,1814,532,692,533
"136",3,2,2017,11,20,11,33,54.463,2,2,6,1.9593,0.34254,0.65477,0,0,1803,532,637,549
"137",3,2,2017,11,20,11,33,54.463,2,2,7,1.5472,0.42702,0.71629,0,0,1810,531,680,522
"138",3,2,2017,11,20,11,33,54.463,2,2,8,1.1386,0.38821,0.67742,0,0,1799,532,709,539
"139",3,2,2017,11,20,11,33,54.463,2,2,9,1.1493,0.33812,0.67946,0,0,1813,531,626,519
"140",3,2,2017,11,20,11,33,54.463,2,2,10,1.2575,0.47452,0.80144,0,0,1807,533,653,525
"141",3,2,2017,11,20,11,33,54.463,2,2,11,1.8407,0.43362,1.4142,0,0,1811,530,654,511
"142",3,2,2017,11,20,11,33,54.463,2,2,12,1.2543,0.47138,0.76153,0,0,1818,533,655,509
"143",3,2,2017,11,20,11,33,54.463,2,2,13,1.8143,0.47498,0.74355,0,0,1808,534,683,506
"144",3,2,2017,11,20,11,33,54.463,2,2,14,1.2435,0.44487,0.74209,0,0,1812,536,668,524
